Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]"
Afghanistan,"AFG","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","0.039774951722225","0.227884455495729","0.162912596757714","0.126047621345445","0.0692505644993633","0.0863434810109968","0.0531414387918182","0.141623999936692","0.106668396266518","0.060992369447013","0.109681587286938","0.259329424230153","0.126676566077595","0.114973918075858","0.108506048261152","0.120983430638658","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.396869440571365","0.216327171779355","0.281992479508173","0.273661753630469","","","","0.265449776345043","0.565414295757957","2.44188716558127","1.79034177916409","1.69384210954167","",""
Afghanistan,"AFG","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","28.6521376403035","41.0557216014938","30.2510645951534","28.5228938651142","24.3032038512962","27.7852526287362","33.2859225582647","40.315678935165","54.3142843254721","37.0881179809319","62.7370084262365","65.8142763012315","56.6493592453059","46.774855133727","49.9178238085996","46.4749385098249","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.225306021781","16.661688583446","19.0830581632724","13.7203511420929","6.5739642416531","6.99944663151224","8.40791819685785","16.5001116931986","24.5975694033498","40.7024238433037","45.2205947815806","41.0868040544375","",""
Albania,"ALB","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.02848377904385","1.44951092538095","1.24348411327696","1.08725969506078","1.54113878193558","1.72511919994509","1.95046123237579","1.74685005123267","1.67968465490054","2.38114115464895","2.50924627306612","2.86052040749217","2.51777570543925","2.4474821971318","3.61002912343741","4.0992269650699","2.75573252962047","2.58327671326983","0.509983988178868","1.87904909690666","1.28746910387014","0.456069586532058","0.399632625116623","0.481852110924148","1.13115094621687",""
Albania,"ALB","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.2102869652691","67.0210346243327","66.5323598976361","63.9938517704226","66.586000834266","68.1084243526898","67.863848824752","69.0342975653711","70.293332697955","71.3119849316285","64.1209694901953","65.1285860984399","63.3699189987576","67.6204817449223","63.575091859884","60.6798261948745","59.0264794628749","61.4960884630195","37.3435488970563","58.5674745205595","58.2955735608015","51.0404356493248","47.511441094006","50.6593616573049","61.5314824043475",""
Algeria,"DZA","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","","","","","1.21988663085779","","1.38387605901541","1.68550962823195","1.9181040874048","1.76709078642351","","1.72714468868683","1.65537648963574","1.66201892420481","1.21611186148919","1.44658277231634","1.27820856717712","1.59250780934569","1.71607428910969","1.70794328296732","1.17050000589397","1.44380472413302","1.59001814705962","2.05800447236839","2.20479674913723","2.90552398759271","","","","","2.1901471052913","1.74687922798381","1.45932420631703","1.57085882831073","1.34543625898022","1.09946556206814","1.34994332587701","1.22034728277025","1.19967866626042","1.37941531251464","1.30602706737037","1.17954833112342","1.31926956252917","1.52553245717482","1.78230708155816","1.85698191765339","1.59780803506225","1.3773437004943","1.52607111137202","1.65193970327174","1.5660377678249","1.53033622472712","1.4192045156963","1.53513588160658","1.61284049235123","1.47471991011885","","","",""
Algeria,"DZA","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","","","","","68.6979673536115","","73.4643785798188","77.6588178508717","79.3256574216342","75.1083053645824","","77.4191321113152","72.6895859660072","72.8571770035953","77.4738009463373","77.3377877329198","78.6499892322366","75.6914830496773","71.7126217711888","72.5995131872165","73.5422172517333","71.3013712177247","73.1653166523919","67.0192958073139","69.5110544670296","63.7679034560159","","","","","64.9987399500917","65.7928924814701","61.5843368393121","64.7226589354794","63.1829444898753","62.3808319251591","64.8050249853317","67.1167214574189","66.6366780393249","68.7735445650932","70.3374789171968","73.1907363428163","73.9403564572102","76.4657970572374","75.8090599857943","74.8799059885018","73.9883560525378","79.7522066119791","78.4308573742416","71.7393068460253","67.4048861521002","70.1306786762433","72.0429123194083","73.1769028033099","74.6202711876683","72.9653660533898","","","",""
American Samoa,"ASM","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
American Samoa,"ASM","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Andorra,"AND","Ores and metals imports (% of merchandise imports)","TM.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.710753881700047","0.764618153490847","0.662152577309268","0.66462774324648","0.678015534967527","0.751039852514273","0.787241309438869","0.612384705599884","0.616999721376151","0.607138542610582","","0.728224447530331","0.624410778612128","0.68031484544218","0.86896162603968","0.57226775302775","0.536519443864381","0.469487023490236","0.406252887883791","0.458342176579425","0.463577215028386","0.389986858589397","0.396399492947478","0.453706890270689","","",""
Andorra,"AND","Manufactures imports (% of merchandise imports)","TM.VAL.MANF.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.1926581201281","65.6776443282495","64.7382870010111","71.9468783007097","74.4487882202505","73.8429450072472","74.0107289001197","74.8335274159212","75.4873890077126","76.2331984208912","","74.1624999173079","74.3427405958356","69.2424241900379","68.5768779047805","66.8632226470354","64.3809335797637","61.5016777884836","62.5905502093151","63.4935712437506","66.4401006911656","67.6021155165485","67.3380146561716","68.2945524421844","","",""
